               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085593,             0.04679,            0.056717,             0.24332,              0.4274,             0.20307,            0.079034,            0.062408,            0.023984,             0.04813,            0.070357,           0.0032937,           0.0032937
                   1,             0.06164,            0.033915,            0.046053,              0.4107,             0.37391,             0.36502,             0.14775,            0.064532,            0.016381,            0.039125,            0.040292,           0.0065614,           0.0065614
                   2,            0.060181,            0.028935,            0.036904,             0.31219,             0.62763,             0.41577,             0.16809,            0.060667,            0.015431,            0.027786,             0.01016,           0.0097631,           0.0097631
                   3,            0.055147,            0.027493,            0.025625,             0.57635,             0.78445,             0.71223,             0.36933,            0.047451,            0.016247,             0.01789,            0.009703,            0.009703,            0.009703
                   4,            0.048106,            0.025759,            0.018172,             0.68218,             0.80817,             0.82592,             0.38665,            0.048869,             0.01424,            0.012806,            0.009703,            0.009703,            0.009703
                   5,            0.043536,            0.025494,            0.012727,             0.87951,             0.85775,             0.90428,             0.45235,            0.041765,            0.014705,           0.0089252,            0.009604,            0.009604,            0.009604
                   6,             0.04076,             0.02455,            0.010272,             0.84025,             0.92529,             0.93834,             0.56565,            0.037263,            0.014096,           0.0070722,            0.009505,            0.009505,            0.009505
                   7,            0.037844,            0.024821,           0.0086171,             0.91538,             0.94429,             0.94304,             0.54463,            0.035832,             0.01333,           0.0064887,            0.009406,            0.009406,            0.009406
                   8,            0.036648,            0.023405,           0.0077511,              0.9014,             0.90899,             0.94951,             0.56087,            0.035226,            0.014677,           0.0059084,            0.009307,            0.009307,            0.009307
                   9,            0.035352,            0.024378,           0.0071399,             0.90375,             0.92176,              0.9531,             0.58101,            0.034105,            0.013828,           0.0055611,            0.009208,            0.009208,            0.009208
                  10,             0.03467,            0.023643,           0.0068702,             0.96538,             0.94409,             0.97376,             0.59494,            0.032903,            0.013038,           0.0054092,            0.009109,            0.009109,            0.009109
                  11,            0.033313,            0.023174,           0.0064757,             0.91336,             0.93632,             0.95549,             0.58679,            0.032645,            0.013179,           0.0051782,             0.00901,             0.00901,             0.00901
                  12,            0.032513,            0.023815,           0.0062214,             0.92251,             0.94238,             0.95957,             0.55117,            0.032101,            0.013168,           0.0048463,            0.008911,            0.008911,            0.008911
                  13,            0.032141,            0.023294,           0.0059661,             0.91033,             0.88475,             0.93938,             0.53829,            0.032836,            0.014629,           0.0049374,            0.008812,            0.008812,            0.008812
                  14,            0.031556,            0.023483,           0.0057658,             0.94651,             0.95296,              0.9643,             0.58266,            0.032796,            0.013175,           0.0046143,            0.008713,            0.008713,            0.008713
                  15,            0.031022,             0.02307,           0.0053146,             0.94362,             0.93604,             0.95894,             0.58708,            0.031238,            0.013154,           0.0045014,            0.008614,            0.008614,            0.008614
                  16,             0.03034,            0.023737,           0.0051727,              0.9538,             0.95639,             0.97144,             0.60903,            0.031693,            0.013006,           0.0043427,            0.008515,            0.008515,            0.008515
                  17,            0.029632,            0.022574,           0.0049758,             0.95525,             0.94698,             0.97345,             0.61694,            0.030029,            0.012716,           0.0041816,            0.008416,            0.008416,            0.008416
                  18,            0.029399,            0.022481,           0.0049033,             0.95333,             0.95107,             0.96726,             0.62327,            0.029606,            0.012895,           0.0042335,            0.008317,            0.008317,            0.008317
                  19,            0.028783,            0.022074,           0.0048361,             0.95366,             0.95714,             0.96882,             0.64361,            0.029033,            0.012789,           0.0041197,            0.008218,            0.008218,            0.008218
                  20,            0.028571,            0.022246,           0.0045466,             0.95887,             0.96595,              0.9644,             0.64931,            0.028396,            0.012539,           0.0040539,            0.008119,            0.008119,            0.008119
